,0
659,-42.800000000000004
660,-71.4
661,-27.0
662,-58.800000000000004
663,-24.200000000000003
664,-12.600000000000001
665,-28.8
666,-33.800000000000004
667,-81.2
668,-23.400000000000002
669,-69.2
670,-21.6
671,-37.6
672,-35.2
673,-63.2
674,-51.800000000000004
675,-40.800000000000004
676,-43.0
677,-33.0
678,-23.400000000000002
679,-44.800000000000004
680,-27.8
681,-38.0
682,-98.60000000000001
683,-39.800000000000004
684,-30.0
685,-35.800000000000004
686,-33.6
687,-76.80000000000001
688,-16.8
689,-19.0
690,-40.0
691,-40.400000000000006
692,-35.4
693,-60.400000000000006
694,-53.400000000000006
695,-21.400000000000002
696,-39.400000000000006
697,-19.200000000000003
698,-41.400000000000006
699,-38.0
700,-54.6
701,-46.2
702,-18.400000000000002
703,-53.0
704,-31.400000000000002
705,-67.8
706,-33.4
707,-54.2
708,-31.8
709,-70.8
710,-32.800000000000004
711,-71.8
712,-22.6
713,-39.400000000000006
714,-46.6
715,-30.200000000000003
716,-28.200000000000003
717,-58.2
718,-31.400000000000002
719,-55.0
720,-67.4
721,-19.8
722,-30.200000000000003
723,-38.800000000000004
724,-44.6
725,-33.0
726,-28.0
727,-35.6
728,-43.800000000000004
729,-59.0
730,-29.6
731,-58.0
732,-48.400000000000006
733,-16.0
734,-40.2
735,-61.0
736,-47.400000000000006
737,-134.4
738,-21.200000000000003
739,-64.4
740,-30.8
741,-8.6
742,-44.0
743,-35.4
744,-31.6
745,-33.800000000000004
746,-39.6
747,-20.200000000000003
748,-43.400000000000006
749,-69.4
750,-40.6
751,-71.2
752,-40.2
753,-35.4
754,-12.600000000000001
755,-37.6
756,-20.6
757,-19.6
758,-27.200000000000003
759,-26.8
760,-46.400000000000006
761,-33.2
762,-37.2
763,-31.0
764,-26.400000000000002
765,-77.60000000000001
766,-50.2
767,-15.600000000000001
768,-41.400000000000006
769,-42.800000000000004
770,-34.6
771,-47.6
772,-17.400000000000002
773,-23.6
774,-60.2
775,-37.2
776,-41.400000000000006
777,-23.200000000000003
778,-63.0
779,-37.0
780,-20.8
781,-33.800000000000004
782,-24.6
783,-15.8
784,-14.200000000000001
785,-37.800000000000004
786,-34.4
787,-47.400000000000006
788,-20.200000000000003
789,-7.4
790,-53.800000000000004
791,-67.2
792,-49.0
793,-24.0
794,-24.200000000000003
795,-17.2
796,-32.6
797,-9.600000000000001
798,-27.0
799,-47.800000000000004
800,-32.6
801,-17.400000000000002
802,-21.8
803,-33.4
804,-30.8
805,-36.800000000000004
806,-38.6
807,-27.8
808,-54.6
809,-36.6
810,-29.6
811,-26.200000000000003
812,-12.600000000000001
813,-35.4
814,-19.200000000000003
815,-21.6
816,-49.800000000000004
817,-34.800000000000004
818,-24.200000000000003
819,-30.6
820,-19.200000000000003
821,-20.200000000000003
822,-70.8
823,-67.60000000000001
824,-54.6
825,-48.6
826,-21.8
827,-51.0
828,-25.200000000000003
829,-16.400000000000002
830,-22.8
831,-18.6
832,-24.8
833,-26.8
834,-34.800000000000004
835,-48.6
836,-20.8
837,-12.8
838,-39.800000000000004
839,-38.2
840,-29.8
841,-32.2
842,-49.0
843,-12.8
844,-20.200000000000003
845,-28.0
846,-18.2
847,-46.6
848,-26.200000000000003
849,-29.8
850,-32.4
851,-33.800000000000004
852,-20.8
853,-17.6
854,-26.200000000000003
855,-11.200000000000001
856,-21.8
857,-12.0
858,-14.200000000000001
859,-34.4
860,-9.4
861,-24.0
862,-15.4
863,-23.400000000000002
864,-30.6
865,-21.8
866,-15.8
867,-64.0
868,-17.2
869,-11.600000000000001
870,-31.200000000000003
871,-27.400000000000002
872,-28.400000000000002
873,-44.6
874,-18.0
875,-32.2
876,-4.2
877,-14.8
878,-23.400000000000002
879,-36.800000000000004
880,-25.0
881,-28.8
882,-40.2
883,-24.8
884,-14.200000000000001
885,-16.2
886,-8.200000000000001
887,-46.2
888,-15.4
889,-16.8
890,-11.0
891,-14.4
892,-15.8
893,-40.800000000000004
894,-39.0
895,-22.200000000000003
896,-26.0
897,-18.400000000000002
898,-12.200000000000001
899,-25.200000000000003
900,-21.6
901,-6.800000000000001
902,-27.8
903,-6.4
904,-31.6
905,-21.400000000000002
906,-27.6
907,-34.800000000000004
908,-27.8
909,-30.0
910,-12.200000000000001
911,-15.8
912,-35.6
913,-20.0
914,-12.8
915,-47.2
916,-21.8
917,-22.0
918,-21.6
919,-40.400000000000006
920,-23.8
921,-20.0
922,-27.400000000000002
923,-37.6
924,-22.8
925,-14.4
926,-17.6
927,-6.4
928,-17.8
929,-34.6
930,-26.6
931,-10.600000000000001
932,-23.200000000000003
933,-15.0
934,-36.6
935,-38.6
936,-21.200000000000003
937,-18.6
938,-18.8
939,-14.0
940,-15.600000000000001
941,-26.8
942,-39.2
943,-8.8
944,-25.0
945,-32.2
946,-30.200000000000003
947,-18.0
948,-18.2
949,-24.200000000000003
950,-43.0
951,-24.6
952,-3.8000000000000003
953,-25.0
954,-42.0
955,-11.200000000000001
956,-18.0
957,-25.6
958,-17.0
959,-2.4000000000000004
960,-17.8
961,-24.6
962,-17.0
963,-13.4
964,-9.8
965,-18.6
966,-15.0
967,-13.8
968,-37.2
969,-33.0
970,-18.400000000000002
971,-39.800000000000004
972,-25.6
973,-32.800000000000004
974,-25.200000000000003
975,-23.200000000000003
976,-5.4
977,-14.4
978,-32.800000000000004
979,-12.8
980,-18.0
981,-23.0
982,-22.200000000000003
983,-34.800000000000004
984,-19.6
985,-23.200000000000003
986,-6.6000000000000005
987,-20.200000000000003
988,-38.800000000000004
989,-23.0
990,-56.0
991,-19.6
992,-24.0
993,-11.8
994,-25.200000000000003
995,-11.600000000000001
996,-10.0
997,-8.4
998,-30.0
999,-24.0
1000,-15.600000000000001
1001,-14.4
1002,-36.6
1003,-24.0
1004,-6.6000000000000005
1005,-3.2
1006,-23.6
1007,-6.0
1008,-18.0
1009,-13.600000000000001
1010,-9.4
1011,-13.8
1012,-20.8
1013,-57.400000000000006
1014,-14.0
1015,-29.8
1016,-29.200000000000003
1017,-49.2
1018,-16.6
1019,-21.8
1020,-21.200000000000003
1021,-31.200000000000003
1022,-29.0
1023,-23.400000000000002
1024,-37.2
1025,-19.0
1026,-18.8
1027,-20.0
1028,-6.2
1029,-17.2
1030,-11.8
1031,-17.0
1032,-10.0
1033,-10.4
1034,-13.200000000000001
1035,-27.200000000000003
1036,-5.6000000000000005
1037,-26.0
1038,-17.0
1039,-6.800000000000001
1040,-37.6
1041,-17.2
1042,-7.4
1043,-19.200000000000003
1044,-39.400000000000006
1045,-23.200000000000003
1046,-8.4
1047,-8.4
1048,-8.4
1049,-28.6
1050,-9.0
1051,-18.2
1052,-16.6
1053,-23.0
1054,-17.0
1055,-16.2
1056,-18.400000000000002
1057,-18.0
1058,-30.0
1059,-10.4
1060,-3.8000000000000003
1061,-10.0
1062,-27.8
1063,-16.400000000000002
1064,-16.0
1065,-12.8
1066,-34.800000000000004
1067,-34.4
1068,-20.8
1069,-17.2
1070,-23.6
1071,-19.200000000000003
1072,-18.400000000000002
1073,-9.8
1074,-19.400000000000002
1075,-13.8
1076,-16.0
1077,-13.4
1078,-37.2
1079,-18.8
1080,-12.0
1081,-15.4
1082,-18.8
1083,-8.4
1084,-7.800000000000001
1085,-18.6
1086,-7.800000000000001
1087,-14.8
1088,-38.6
1089,0.4
1090,-21.6
1091,-17.400000000000002
1092,-10.600000000000001
1093,-19.200000000000003
1094,-6.2
1095,-29.6
1096,-7.800000000000001
1097,-13.200000000000001
1098,-26.6
1099,-5.6000000000000005
1100,-6.4
1101,-18.2
1102,-18.400000000000002
1103,-13.8
1104,-9.600000000000001
1105,-21.8
1106,-24.8
1107,-12.600000000000001
1108,-11.4
1109,-15.200000000000001
1110,-17.8
1111,-41.800000000000004
1112,-2.0
1113,-14.600000000000001
1114,-13.4
1115,-8.200000000000001
1116,0.2
1117,-0.4
1118,-9.8
1119,-7.2
1120,-12.200000000000001
1121,-34.4
1122,-6.4
1123,-1.2000000000000002
1124,-10.4
1125,-2.4000000000000004
1126,-11.8
1127,1.0
1128,-27.0
1129,-9.4
1130,-4.800000000000001
1131,-19.200000000000003
1132,-20.0
1133,-28.400000000000002
1134,-22.0
1135,-46.0
1136,-18.0
1137,-5.4
1138,-8.4
1139,-1.2000000000000002
1140,-7.4
1141,-16.8
1142,-10.8
1143,-22.400000000000002
1144,-10.8
1145,0.0
1146,-10.0
1147,-10.200000000000001
1148,-2.6
1149,-10.600000000000001
1150,-5.800000000000001
1151,-11.200000000000001
1152,-22.400000000000002
1153,-17.400000000000002
1154,-14.4
1155,-10.200000000000001
1156,-1.0
1157,-4.6000000000000005
1158,-17.2
1159,-0.4
1160,-15.600000000000001
1161,-11.4
1162,-4.800000000000001
1163,-7.0
1164,-14.8
1165,-8.200000000000001
1166,-12.0
1167,-15.600000000000001
1168,-18.400000000000002
1169,-12.8
1170,0.2
1171,-22.400000000000002
1172,-6.0
1173,-22.6
1174,-12.0
1175,-14.600000000000001
1176,-7.0
1177,-12.8
1178,-3.0
1179,-13.0
1180,-15.4
1181,-10.600000000000001
1182,-0.8
1183,-3.2
1184,-31.400000000000002
1185,-14.600000000000001
1186,-9.600000000000001
1187,-30.400000000000002
1188,0.2
1189,-10.8
1190,-12.8
1191,-10.600000000000001
1192,-8.8
1193,-12.200000000000001
1194,-6.2
1195,1.4000000000000001
1196,-16.6
1197,-10.0
1198,-6.6000000000000005
1199,-15.200000000000001
1200,-13.0
