,0
504,-184.20000000000002
505,-80.2
506,-64.4
507,-40.0
508,-116.0
509,-140.8
510,-131.8
511,-232.0
512,-200.60000000000002
513,-131.8
514,-158.0
515,-298.2
516,-56.400000000000006
517,-158.8
518,-162.60000000000002
519,-152.8
520,-134.20000000000002
521,-90.60000000000001
522,-263.6
523,-248.0
524,-152.0
525,-144.8
526,-57.0
527,-47.6
528,-54.0
529,-64.4
530,-170.8
531,-358.0
532,-63.800000000000004
533,-49.6
534,-33.4
535,-70.8
536,-148.8
537,-174.8
538,-143.8
539,-66.4
540,-250.0
541,-136.8
542,-125.0
543,-98.80000000000001
544,-62.800000000000004
545,-32.6
546,-70.2
547,-44.800000000000004
548,-42.800000000000004
549,-229.4
550,-330.0
551,-180.20000000000002
552,-201.20000000000002
553,-244.20000000000002
554,-198.20000000000002
555,-84.80000000000001
556,-44.6
557,-55.0
558,-227.60000000000002
559,-177.4
560,-191.4
561,-173.8
562,-141.4
563,-245.4
564,-263.40000000000003
565,-54.2
566,-153.4
567,-67.0
568,-37.2
569,-54.400000000000006
570,-154.8
571,-38.400000000000006
572,-120.0
573,-150.6
574,-236.8
575,-221.60000000000002
576,-42.6
577,-176.4
578,-69.4
579,-88.60000000000001
580,-192.8
581,-108.60000000000001
582,-43.800000000000004
583,-77.60000000000001
584,-58.400000000000006
585,-147.20000000000002
586,-43.0
587,-149.4
588,-72.4
589,-49.0
590,-33.0
591,-48.400000000000006
592,-52.2
593,-156.0
594,-108.80000000000001
595,-78.0
596,-82.0
597,-50.800000000000004
598,-49.6
599,-52.400000000000006
600,-57.6
601,-28.400000000000002
602,-62.2
603,-80.0
604,-55.800000000000004
605,-67.0
606,-144.4
607,-130.6
608,-51.6
609,-30.6
610,-105.4
611,-255.8
612,-210.0
613,-42.2
614,-161.20000000000002
615,-147.6
616,-228.0
617,-19.400000000000002
618,-158.4
619,-36.2
620,-33.0
621,-153.4
622,-163.0
623,-64.4
624,-116.60000000000001
625,-48.800000000000004
626,-83.0
627,-156.4
628,-94.80000000000001
629,-127.60000000000001
630,-98.0
631,-33.2
632,-159.20000000000002
633,-48.800000000000004
634,-28.400000000000002
635,-130.20000000000002
636,-39.800000000000004
637,-27.0
638,-171.4
639,-98.4
640,-71.8
641,-31.200000000000003
642,-62.6
643,-82.60000000000001
644,-44.400000000000006
645,-40.400000000000006
646,-251.20000000000002
647,-47.800000000000004
648,-355.40000000000003
649,-236.20000000000002
650,-40.6
651,-322.0
652,-317.6
653,-43.2
654,-153.60000000000002
655,-243.20000000000002
656,-63.2
657,-79.80000000000001
658,-58.800000000000004
659,-142.8
660,-38.2
661,-148.6
662,-150.0
663,-138.6
664,-68.8
665,-66.8
666,-22.6
667,-128.20000000000002
668,-17.6
669,-68.0
670,-123.4
671,-118.0
672,-131.20000000000002
673,-113.4
674,-83.0
675,-116.2
676,-192.4
677,-97.2
678,-41.6
679,-122.4
680,-59.6
681,-59.800000000000004
682,-55.400000000000006
683,-165.0
684,-132.4
685,-32.2
686,-245.4
687,-18.2
688,-27.0
689,-42.400000000000006
690,-113.0
691,-55.2
692,-22.400000000000002
693,-35.4
694,-122.0
695,-141.0
696,-80.60000000000001
697,-38.400000000000006
698,-235.20000000000002
699,-68.8
700,-156.20000000000002
701,-135.8
702,-359.20000000000005
703,-231.8
704,-41.800000000000004
705,-115.0
706,-121.80000000000001
707,-29.400000000000002
708,-28.6
709,-122.4
710,-34.6
711,-133.20000000000002
712,-55.800000000000004
713,-52.6
714,-116.2
715,-60.2
716,-43.6
717,-171.60000000000002
718,-144.8
719,-142.6
720,-31.0
721,-25.6
722,-115.60000000000001
723,-145.20000000000002
724,-45.6
725,-38.6
726,-35.0
727,-50.2
728,-48.0
729,-43.6
730,-148.0
731,-62.2
732,-149.6
733,-24.8
734,-136.0
735,-113.80000000000001
736,-135.4
737,-135.6
738,-130.8
739,-135.4
740,-73.4
741,-160.60000000000002
742,-186.4
743,-139.6
744,-147.0
745,-127.0
746,-21.200000000000003
747,-127.0
748,-213.0
749,-37.4
750,-47.400000000000006
751,-145.8
752,-28.8
753,-31.200000000000003
754,-216.60000000000002
755,-62.800000000000004
756,-9.4
757,-8.200000000000001
758,-11.8
759,-256.8
760,-23.0
761,-128.4
762,-47.800000000000004
